match_name,team,batting_pos,player_name,dismissal,runs,balls,fours,sixes,strike_rate,player_name_clean,team_clean,player_id
CANADA vs UNITED STATES OF AMERICA,Canada,1,Aaron Johnson,c NR Kumar b Harmeet Singh,23,16,5,0,143.75,aaron johnson,CAN,P46
CANADA vs UNITED STATES OF AMERICA,Canada,2,Navneet Dhaliwal,c Jessy Singh b CJ Anderson,61,44,6,3,138.64,navneet dhaliwal,CAN,P51
CANADA vs UNITED STATES OF AMERICA,Canada,3,Pargat Singh,run out (Jessy Singh/Monank Patel),5,7,0,0,71.43,pargat singh,CAN,P49
CANADA vs UNITED STATES OF AMERICA,Canada,4,Nicholas Kirton,c CJ Anderson b Ali Khan,51,31,3,2,164.52,nicholas kirton,CAN,P48
CANADA vs UNITED STATES OF AMERICA,Canada,5,Shreyas Movva,not out,32,16,2,2,200,shreyas movva,CAN,P55
CANADA vs UNITED STATES OF AMERICA,Canada,6,Dilpreet Singh,run out (Steven Taylor/Monank Patel),11,5,1,1,220,dilpreet bajwa,CAN,P53
CANADA vs UNITED STATES OF AMERICA,Canada,7,Dillon Heyliger,not out,1,1,0,0,100,dilon heyliger,CAN,P56
CANADA vs UNITED STATES OF AMERICA,United States Of America,1,Steven Taylor,lbw b Kaleem Sana,0,2,0,0,0,steven taylor,USA,P64
CANADA vs UNITED STATES OF AMERICA,United States Of America,2,Monank Patel (c & wk),c Shreyas Movva b Dillon Heyliger,16,16,2,0,100,monank patel,USA,P69
CANADA vs UNITED STATES OF AMERICA,United States Of America,3,Andries Gous,c Aaron Johnson b Nikhil Dutta,65,46,7,3,141.3,andries gous,USA,P70
CANADA vs UNITED STATES OF AMERICA,United States Of America,4,Aaron Jones,not out,94,40,4,10,235,aaron jones,USA,P61
CANADA vs UNITED STATES OF AMERICA,United States Of America,5,Corey Anderson,not out,3,5,0,0,60,corey anderson,USA,P65
PAPUA NEW GUINEA vs WEST INDIES,Papua New Guinea,1,Tony Ura,c Pooran b Romario Shepherd,2,5,0,0,40,tony ura,PNG,P237
PAPUA NEW GUINEA vs WEST INDIES,Papua New Guinea,2,Assad Vala (c),c Roston Chase b Alzarri Joseph,21,22,2,1,95.45,assad vala,PNG,P232
PAPUA NEW GUINEA vs WEST INDIES,Papua New Guinea,3,Lega Siaka,b Akeal Hosein,1,2,0,0,50,lega siaka,PNG,P231
PAPUA NEW GUINEA vs WEST INDIES,Papua New Guinea,4,Sese Bau,b Alzarri Joseph,50,43,6,1,116.28,sese bau,PNG,P234
PAPUA NEW GUINEA vs WEST INDIES,Papua New Guinea,5,Hiri Hiri,c Rovman Powell b Motie,2,6,0,0,33.33,hiri hiri,PNG,P229
PAPUA NEW GUINEA vs WEST INDIES,Papua New Guinea,6,Charles Amini,c Pooran b Russell,12,14,0,0,85.71,charles amini,PNG,P233
PAPUA NEW GUINEA vs WEST INDIES,Papua New Guinea,7,Kiplin Doriga,not out,27,18,3,0,150,kiplin doriga,PNG,P236
PAPUA NEW GUINEA vs WEST INDIES,Papua New Guinea,8,Chad Soper,b Russell,10,9,1,0,111.11,chad soper,PNG,P239
PAPUA NEW GUINEA vs WEST INDIES,Papua New Guinea,9,Alei Nao,run out (Alzarri Joseph),0,0,0,0,0,alei nao,PNG,P238
PAPUA NEW GUINEA vs WEST INDIES,Papua New Guinea,10,Kabua Morea,not out,2,2,0,0,100,kabua morea,PNG,P241
PAPUA NEW GUINEA vs WEST INDIES,West Indies,1,Brandon King,c Lega Siaka b Assad Vala,34,29,7,0,117.24,brandon king,WI,P200
PAPUA NEW GUINEA vs WEST INDIES,West Indies,2,Johnson Charles,lbw b Alei Nao,0,1,0,0,0,johnson charles,WI,P207
PAPUA NEW GUINEA vs WEST INDIES,West Indies,3,Nicholas Pooran,c Tony Ura b John Kariko,27,27,1,2,100,nicholas pooran,WI,P208
PAPUA NEW GUINEA vs WEST INDIES,West Indies,4,Roston Chase,not out,42,27,4,2,155.56,roston chase,WI,P203
PAPUA NEW GUINEA vs WEST INDIES,West Indies,5,Rovman Powell (c),c Kiplin Doriga b Chad Soper,15,14,2,0,107.14,rovman powell,WI,P198
PAPUA NEW GUINEA vs WEST INDIES,West Indies,6,Sherfane Rutherford,c Kiplin Doriga b Assad Vala,2,7,0,0,28.57,sherfane rutherford,WI,P201
PAPUA NEW GUINEA vs WEST INDIES,West Indies,7,Andre Russell,not out,15,9,0,1,166.67,andre russell,WI,P204
OMAN vs NAMIBIA,Oman,1,Kashyap,lbw b Trumpelmann,0,1,0,0,0,kashyap prajapati,OMN,P106
OMAN vs NAMIBIA,Oman,2,Naseem Khushi,c Gerhard Erasmus b Trumpelmann,6,6,1,0,100,naseem khushi,OMN,P116
OMAN vs NAMIBIA,Oman,3,Aqib Ilyas (c),lbw b Trumpelmann,0,1,0,0,0,aqib ilyas,OMN,P110
OMAN vs NAMIBIA,Oman,4,Zeeshan Maqsood,lbw b Bernard Scholtz,22,20,4,0,110,zeeshan maqsood,OMN,P111
OMAN vs NAMIBIA,Oman,5,Khalid Kail,c and b Wiese,34,39,1,1,87.18,khalid kail,OMN,P109
OMAN vs NAMIBIA,Oman,6,Ayaan Khan,c Jan Frylinck b Gerhard Erasmus,15,21,0,1,71.43,ayaan khan,OMN,P113
OMAN vs NAMIBIA,Oman,7,Mohammad Nadeem,lbw b Gerhard Erasmus,6,10,0,0,60,mohammad nadeem,OMN,P114
OMAN vs NAMIBIA,Oman,8,Mehran Khan,lbw b Wiese,7,8,1,0,87.5,mehran khan,OMN,P108
OMAN vs NAMIBIA,Oman,9,Shakeel Ahmed,c Trumpelmann b Wiese,11,9,2,0,122.22,shakeel ahmed,OMN,P117
OMAN vs NAMIBIA,Oman,10,Kaleemullah,lbw b Trumpelmann,2,3,0,0,66.67,kaleemullah,OMN,P120
OMAN vs NAMIBIA,Oman,11,Bilal Khan,not out,1,1,0,0,100,bilal khan,OMN,P118
OMAN vs NAMIBIA,Namibia,1,Michael van Lingen,b Bilal Khan,0,2,0,0,0,michael van lingen,NAM,P250
OMAN vs NAMIBIA,Namibia,2,Nikolaas Davin,c Mohammad Nadeem b Aqib Ilyas,24,31,2,1,77.42,nikolaas davin,NAM,P244
OMAN vs NAMIBIA,Namibia,3,Jan Frylinck,b Mehran Khan,45,48,6,0,93.75,jan frylinck,NAM,P248
OMAN vs NAMIBIA,Namibia,4,Gerhard Erasmus (c),c Zeeshan Maqsood b Ayaan Khan,13,16,1,0,81.25,gerhard erasmus,NAM,P246
OMAN vs NAMIBIA,Namibia,5,JJ Smit,c Ayaan Khan b Mehran Khan,8,12,1,0,66.67,jj smit,NAM,P251
OMAN vs NAMIBIA,Namibia,6,David Wiese,not out,9,8,0,1,112.5,david wiese,NAM,P249
OMAN vs NAMIBIA,Namibia,7,Zane Green,lbw b Mehran Khan,0,2,0,0,0,zane green,NAM,P252
OMAN vs NAMIBIA,Namibia,8,Malan Kruger,not out,1,1,0,0,100,malan kruger,NAM,P245
SRI LANKA vs SOUTH AFRICA,Sri Lanka,1,Pathum Nissanka,c Klaasen b Ottneil Baartman,3,8,0,0,37.5,pathum nissanka,SL,P136
SRI LANKA vs SOUTH AFRICA,Sri Lanka,2,Kusal Mendis,c Tristan Stubbs b Nortje,19,30,1,0,63.33,kusal mendis,SL,P144
SRI LANKA vs SOUTH AFRICA,Sri Lanka,3,Kamindu Mendis,c Reeza Hendricks b Nortje,11,15,1,0,73.33,kamindu mendis,SL,P140
SRI LANKA vs SOUTH AFRICA,Sri Lanka,4,W Hasaranga (c),st de Kock b Maharaj,0,2,0,0,0,wanindu hasaranga,SL,P142
SRI LANKA vs SOUTH AFRICA,Sri Lanka,5,Samarawickrama,b Maharaj,0,1,0,0,0,sadeera samarawickrama,SL,P145
SRI LANKA vs SOUTH AFRICA,Sri Lanka,6,Asalanka,c Reeza Hendricks b Nortje,6,9,0,0,66.67,charith asalanka,SL,P137
SRI LANKA vs SOUTH AFRICA,Sri Lanka,7,Mathews,c Ottneil Baartman b Nortje,16,16,0,2,100,angelo mathews,SL,P139
SRI LANKA vs SOUTH AFRICA,Sri Lanka,8,Shanaka,b Rabada,9,10,0,1,90,dasun shanaka,SL,P141
SRI LANKA vs SOUTH AFRICA,Sri Lanka,9,M Theekshana,not out,7,16,1,0,43.75,maheesh theekshana,SL,P149
SRI LANKA vs SOUTH AFRICA,Sri Lanka,10,Matheesha Pathirana,c Markram b Rabada,0,4,0,0,0,matheesha pathirana,SL,P148
SRI LANKA vs SOUTH AFRICA,Sri Lanka,11,N Thushara,run out (Nortje/Marco Jansen),0,4,0,0,0,nuwan thushara,SL,P150
SRI LANKA vs SOUTH AFRICA,South Africa,1,Quinton de Kock,c and b W Hasaranga,20,27,0,1,74.07,quinton de kock,RSA,P125
SRI LANKA vs SOUTH AFRICA,South Africa,2,Reeza Hendricks,c Kamindu Mendis b N Thushara,4,2,1,0,200,reeza hendricks,RSA,P122
SRI LANKA vs SOUTH AFRICA,South Africa,3,Aiden Markram (c),c Kamindu Mendis b Shanaka,12,14,0,1,85.71,aiden markram,RSA,P121
SRI LANKA vs SOUTH AFRICA,South Africa,4,Tristan Stubbs,c Asalanka b W Hasaranga,13,28,0,0,46.43,tristan stubbs,RSA,P128
SRI LANKA vs SOUTH AFRICA,South Africa,5,Heinrich Klaasen,not out,19,22,1,1,86.36,heinrich klaasen,RSA,P126
SRI LANKA vs SOUTH AFRICA,South Africa,6,David Miller,not out,6,6,1,0,100,david miller,RSA,P123
AFGHANISTAN vs UGANDA,Afghanistan,1,Gurbaz,c Riazat Ali Shah b Alpesh Ramjani,76,45,4,4,168.89,rahmanullah gurbaz,AFG,P175
AFGHANISTAN vs UGANDA,Afghanistan,2,Ibrahim Zadran,b Masaba,70,46,9,1,152.17,ibrahim zadran,AFG,P166
AFGHANISTAN vs UGANDA,Afghanistan,3,Najibullah,c Dinesh Nakrani b Masaba,2,3,0,0,66.67,najibullah zadran,AFG,P167
AFGHANISTAN vs UGANDA,Afghanistan,4,Nabi,not out,14,16,0,0,87.5,mohammad nabi,AFG,P171
AFGHANISTAN vs UGANDA,Afghanistan,5,Gulbadin,c Masaba b Cosmas Kyewuta,4,5,0,0,80,gulbadin naib,AFG,P169
AFGHANISTAN vs UGANDA,Afghanistan,6,Azmatullah,c Alpesh Ramjani b Cosmas Kyewuta,5,5,0,0,100,azmatullah omarzai,AFG,P170
AFGHANISTAN vs UGANDA,Afghanistan,7,Rashid Khan (c),not out,2,1,0,0,200,rashid khan,AFG,P172
AFGHANISTAN vs UGANDA,Uganda,1,Ronak Patel,b Fazalhaq Farooqi,4,2,1,0,200,ronak patel,UGA,P215
AFGHANISTAN vs UGANDA,Uganda,2,Simon Ssesazi,c Fazalhaq Farooqi b Mujeeb,4,4,1,0,100,simon ssesazi,UGA,P216
AFGHANISTAN vs UGANDA,Uganda,3,Roger Mukasa,lbw b Fazalhaq Farooqi,0,1,0,0,0,roger mukasa,UGA,P222
AFGHANISTAN vs UGANDA,Uganda,4,Riazat Ali Shah,b Fazalhaq Farooqi,11,34,0,0,32.35,riazat ali shah,UGA,P219
AFGHANISTAN vs UGANDA,Uganda,5,Dinesh Nakrani,b Naveen-ul-Haq,6,8,1,0,75,dinesh nakrani,UGA,P217
AFGHANISTAN vs UGANDA,Uganda,6,Alpesh Ramjani,c Gulbadin b Naveen-ul-Haq,0,2,0,0,0,alpesh ramjani,UGA,P220
AFGHANISTAN vs UGANDA,Uganda,7,Robinson Obuya,c Gurbaz b Fazalhaq Farooqi,14,25,0,1,56,robinson obuya,UGA,P214
AFGHANISTAN vs UGANDA,Uganda,8,Brian Masaba (c),c Gurbaz b Fazalhaq Farooqi,0,1,0,0,0,brian masaba,UGA,P223
AFGHANISTAN vs UGANDA,Uganda,9,Bilal Hassan,lbw b Rashid Khan,8,16,1,0,50,bilal hassan,UGA,P224
AFGHANISTAN vs UGANDA,Uganda,10,Cosmas Kyewuta,not out,2,2,0,0,100,cosmas kyewuta,UGA,P225
AFGHANISTAN vs UGANDA,Uganda,11,Henry Ssenyondo,b Rashid Khan,0,1,0,0,0,henry ssenyondo,UGA,P228
SCOTLAND vs ENGLAND,Scotland,1,George Munsey,not out,41,31,4,2,132.26,george munsey,SCO,P92
SCOTLAND vs ENGLAND,Scotland,2,Michael Jones,not out,45,30,4,2,150,michael jones,SCO,P91
NEPAL vs NETHERLANDS,Nepal,1,Kushal Bhurtel,lbw b van Beek,7,10,1,0,70,kushal bhurtel,NEP,P182
NEPAL vs NETHERLANDS,Nepal,2,Aasif Sheikh,c Kingma b Tim Pringle,4,8,1,0,50,aasif sheikh,NEP,P192
NEPAL vs NETHERLANDS,Nepal,3,Anil Sah,c van Beek b Tim Pringle,11,12,2,0,91.67,anil sah,NEP,P186
NEPAL vs NETHERLANDS,Nepal,4,Rohit Paudel (c),c Max ODowd b Tim Pringle,35,37,5,0,94.59,rohit paudel,NEP,P184
NEPAL vs NETHERLANDS,Nepal,5,Kushal Malla,c Max ODowd b van Meekeren,9,9,1,0,100,kushal malla,NEP,P187
NEPAL vs NETHERLANDS,Nepal,6,Dipendra Singh,c van Beek b Bas de Leede,1,6,0,0,16.67,dipendra singh airee,NEP,P185
NEPAL vs NETHERLANDS,Nepal,7,Sompal Kami,b van Meekeren,0,5,0,0,0,sompal kami,NEP,P189
NEPAL vs NETHERLANDS,Nepal,8,Gulsan Jha,b van Beek,14,15,0,1,93.33,gulsan jha,NEP,P194
NEPAL vs NETHERLANDS,Nepal,9,Karan KC,c Kingma b Bas de Leede,17,12,0,2,141.67,karan kc,NEP,P188
NEPAL vs NETHERLANDS,Nepal,10,Sagar Dhakal,not out,0,1,0,0,0,sagar dhakal,NEP,P196
NEPAL vs NETHERLANDS,Nepal,11,Abinash Bohara,c and b van Beek,0,1,0,0,0,abinash bohara,NEP,P195
NEPAL vs NETHERLANDS,Netherlands,1,Michael Levitt,c Dipendra Singh b Sompal Kami,1,3,0,0,33.33,michael levitt,NED,P264
NEPAL vs NETHERLANDS,Netherlands,2,Max ODowd,not out,54,48,4,1,112.5,max odowd,NED,P260
NEPAL vs NETHERLANDS,Netherlands,3,Vikramjit Singh,lbw b Dipendra Singh,22,28,4,0,78.57,vikramjit singh,NED,P262
NEPAL vs NETHERLANDS,Netherlands,4,Sybrand Engelbrecht,run out (Sompal Kami),14,16,1,0,87.5,sybrand engelbrecht,NED,P263
NEPAL vs NETHERLANDS,Netherlands,5,Scott Edwards (c & wk),b Abinash Bohara,5,8,0,0,62.5,scott edwards,NED,P268
NEPAL vs NETHERLANDS,Netherlands,6,Bas de Leede,not out,11,10,1,0,110,bas de leede,NED,P265
IRELAND vs INDIA,Ireland,1,Balbirnie,b Arshdeep Singh,5,10,1,0,50,andrew balbirnie,IRE,P17
IRELAND vs INDIA,Ireland,2,Stirling (c),c Pant b Arshdeep Singh,2,6,0,0,33.33,paul stirling,IRE,P19
IRELAND vs INDIA,Ireland,3,Lorcan Tucker,b Hardik Pandya,10,13,2,0,76.92,lorcan tucker,IRE,P24
IRELAND vs INDIA,Ireland,4,Harry Tector,c Kohli b Bumrah,4,16,0,0,25,harry tector,IRE,P18
IRELAND vs INDIA,Ireland,5,Curtis Campher,c Pant b Hardik Pandya,12,8,1,1,150,curtis campher,IRE,P21
IRELAND vs INDIA,Ireland,6,Dockrell,c Bumrah b Siraj,3,5,0,0,60,george dockrell,IRE,P22
IRELAND vs INDIA,Ireland,7,Delany,run out (Siraj/Pant),26,14,2,2,185.71,gareth delany,IRE,P20
IRELAND vs INDIA,Ireland,8,Mark Adair,c Shivam Dube b Hardik Pandya,3,2,0,0,150,mark adair,IRE,P25
IRELAND vs INDIA,Ireland,9,Barry McCarthy,c and b Axar,0,6,0,0,0,barry mccarthy,IRE,P28
IRELAND vs INDIA,Ireland,10,Joshua Little,b Bumrah,14,13,2,0,107.69,joshua little,IRE,P27
IRELAND vs INDIA,Ireland,11,Benjamin White,not out,2,4,0,0,50,benjamin white,IRE,P30
IRELAND vs INDIA,India,1,Rohit Sharma (c),retd hurt,52,37,4,3,140.54,rohit sharma,IND,P1
IRELAND vs INDIA,India,2,Virat Kohli,c Benjamin White b Mark Adair,1,5,0,0,20,virat kohli,IND,P3
IRELAND vs INDIA,India,3,Rishabh Pant,not out,36,26,3,2,138.46,rishabh pant,IND,P9
IRELAND vs INDIA,India,4,Suryakumar Yadav,c Dockrell b Benjamin White,2,4,0,0,50,suryakumar yadav,IND,P4
IRELAND vs INDIA,India,5,Shivam Dube,not out,0,2,0,0,0,shivam dube,IND,P6
PAPUA NEW GUINEA vs UGANDA,Papua New Guinea,1,Assad Vala (c),lbw b Alpesh Ramjani,0,2,0,0,0,assad vala,PNG,P232
PAPUA NEW GUINEA vs UGANDA,Papua New Guinea,2,Tony Ura,c Mukasa b Cosmas Kyewuta,1,6,0,0,16.67,tony ura,PNG,P237
PAPUA NEW GUINEA vs UGANDA,Papua New Guinea,3,Sese Bau,c Mukasa b Juma Miyagi,5,9,1,0,55.56,sese bau,PNG,P234
PAPUA NEW GUINEA vs UGANDA,Papua New Guinea,4,Lega Siaka,run out (Cosmas Kyewuta/Simon Ssesazi),12,17,1,0,70.59,lega siaka,PNG,P231
PAPUA NEW GUINEA vs UGANDA,Papua New Guinea,5,Hiri Hiri,lbw b Nsubuga,15,19,2,0,78.95,hiri hiri,PNG,P229
PAPUA NEW GUINEA vs UGANDA,Papua New Guinea,6,Charles Amini,b Nsubuga,5,14,0,0,35.71,charles amini,PNG,P233
PAPUA NEW GUINEA vs UGANDA,Papua New Guinea,7,Kiplin Doriga,lbw b Alpesh Ramjani,12,20,0,1,60,kiplin doriga,PNG,P236
PAPUA NEW GUINEA vs UGANDA,Papua New Guinea,8,Chad Soper,b Masaba,4,11,0,0,36.36,chad soper,PNG,P239
PAPUA NEW GUINEA vs UGANDA,Papua New Guinea,9,Norman Vanua,c Simon Ssesazi b Cosmas Kyewuta,5,10,0,0,50,norman vanua,PNG,P242
PAPUA NEW GUINEA vs UGANDA,Papua New Guinea,10,Alei Nao,b Juma Miyagi,5,6,0,0,83.33,alei nao,PNG,P238
PAPUA NEW GUINEA vs UGANDA,Papua New Guinea,11,John Kariko,not out,0,2,0,0,0,john kariko,PNG,P240
PAPUA NEW GUINEA vs UGANDA,Uganda,1,Roger Mukasa,lbw b Alei Nao,0,3,0,0,0,roger mukasa,UGA,P222
PAPUA NEW GUINEA vs UGANDA,Uganda,2,Simon Ssesazi,lbw b Alei Nao,1,3,0,0,33.33,simon ssesazi,UGA,P216
PAPUA NEW GUINEA vs UGANDA,Uganda,3,Robinson Obuya,c Assad Vala b Norman Vanua,1,2,0,0,50,robinson obuya,UGA,P214
PAPUA NEW GUINEA vs UGANDA,Uganda,4,Riazat Ali Shah,c John Kariko b Norman Vanua,33,56,1,0,58.93,riazat ali shah,UGA,P219
PAPUA NEW GUINEA vs UGANDA,Uganda,5,Alpesh Ramjani,b Chad Soper,8,10,1,0,80,alpesh ramjani,UGA,P220
PAPUA NEW GUINEA vs UGANDA,Uganda,6,Dinesh Nakrani,c and b Assad Vala,0,3,0,0,0,dinesh nakrani,UGA,P217
PAPUA NEW GUINEA vs UGANDA,Uganda,7,Juma Miyagi,run out (Norman Vanua/Alei Nao),13,16,0,0,81.25,juma miyagi,UGA,P226
PAPUA NEW GUINEA vs UGANDA,Uganda,8,Kenneth Waiswa,not out,7,16,0,0,43.75,kenneth waiswa,UGA,P218
PAPUA NEW GUINEA vs UGANDA,Uganda,9,Brian Masaba (c),not out,0,1,0,0,0,brian masaba,UGA,P223
AUSTRALIA vs OMAN,Australia,1,Warner,c Shoaib Khan b Kaleemullah,56,51,6,1,109.8,david warner,AUS,P78
AUSTRALIA vs OMAN,Australia,2,Head,c Khalid Kail b Bilal Khan,12,10,2,0,120,travis head,AUS,P77
AUSTRALIA vs OMAN,Australia,3,Mitchell Marsh (c),c Shoaib Khan b Mehran Khan,14,21,2,0,66.67,mitchell marsh,AUS,P79
AUSTRALIA vs OMAN,Australia,4,Maxwell,c Aqib Ilyas b Mehran Khan,0,1,0,0,0,glenn maxwell,AUS,P81
AUSTRALIA vs OMAN,Australia,5,Stoinis,not out,67,36,2,6,186.11,marcus stoinis,AUS,P82
AUSTRALIA vs OMAN,Australia,6,Tim David,run out (Ayaan Khan/Pratik Athavale),9,4,2,0,225,tim david,AUS,P76
AUSTRALIA vs OMAN,Oman,1,Kashyap Prajapati,lbw b Nathan Ellis,7,16,1,0,43.75,kashyap prajapati,OMN,P106
AUSTRALIA vs OMAN,Oman,2,Pratik Athavale,lbw b Starc,0,1,0,0,0,pratik athavale,OMN,P115
AUSTRALIA vs OMAN,Oman,3,Aqib Ilyas (c),c Wade b Stoinis,18,18,2,1,100,aqib ilyas,OMN,P110
AUSTRALIA vs OMAN,Oman,4,Zeeshan Maqsood,c Wade b Stoinis,1,7,0,0,14.29,zeeshan maqsood,OMN,P111
AUSTRALIA vs OMAN,Oman,5,Khalid Kail,c Maxwell b Starc,8,12,1,0,66.67,khalid kail,OMN,P109
AUSTRALIA vs OMAN,Oman,6,Ayaan Khan,c Hazlewood b Zampa,36,30,2,2,120,ayaan khan,OMN,P113
AUSTRALIA vs OMAN,Oman,7,Shoaib Khan,b Zampa,0,4,0,0,0,shoaib khan,OMN,P107
AUSTRALIA vs OMAN,Oman,8,Mehran Khan,c Tim David b Stoinis,27,16,1,2,168.75,mehran khan,OMN,P108
AUSTRALIA vs OMAN,Oman,9,Shakeel Ahmed,c Warner b Nathan Ellis,11,10,1,0,110,shakeel ahmed,OMN,P117
AUSTRALIA vs OMAN,Oman,10,Kaleemullah,not out,6,4,0,0,150,kaleemullah,OMN,P120
AUSTRALIA vs OMAN,Oman,11,Bilal Khan,not out,1,2,0,0,50,bilal khan,OMN,P118
PAKISTAN vs UNITED STATES OF AMERICA,Pakistan,1,Rizwan,c Steven Taylor b Netravalkar,9,8,0,1,112.5,mohammad rizwan,PAK,P297
PAKISTAN vs UNITED STATES OF AMERICA,Pakistan,2,Babar Azam (c),lbw b Jasdeep Singh,44,43,3,2,102.33,babar azam,PAK,P290
PAKISTAN vs UNITED STATES OF AMERICA,Pakistan,3,Usman Khan,c NR Kumar b Nosthush Kenjige,3,3,0,0,100,usman khan,PAK,P298
PAKISTAN vs UNITED STATES OF AMERICA,Pakistan,4,Fakhar Zaman,c Steven Taylor b Ali Khan,11,7,0,1,157.14,fakhar zaman,PAK,P291
PAKISTAN vs UNITED STATES OF AMERICA,Pakistan,5,Shadab Khan,c Netravalkar b Nosthush Kenjige,40,25,1,3,160,shadab khan,PAK,P295
PAKISTAN vs UNITED STATES OF AMERICA,Pakistan,6,Azam Khan,lbw b Nosthush Kenjige,0,1,0,0,0,azam khan,PAK,P296
PAKISTAN vs UNITED STATES OF AMERICA,Pakistan,7,Iftikhar Ahmed,lbw b Netravalkar,18,14,3,0,128.57,iftikhar ahmed,PAK,P292
PAKISTAN vs UNITED STATES OF AMERICA,Pakistan,8,Shaheen Afridi,not out,23,16,1,2,143.75,shaheen afridi,PAK,P304
PAKISTAN vs UNITED STATES OF AMERICA,Pakistan,9,Haris Rauf,not out,3,3,0,0,100,haris rauf,PAK,P300
PAKISTAN vs UNITED STATES OF AMERICA,United States Of America,1,Steven Taylor,c Rizwan b Naseem Shah,12,16,1,0,75,steven taylor,USA,P64
PAKISTAN vs UNITED STATES OF AMERICA,United States Of America,2,Monank Patel (c & wk),c Rizwan b Amir,50,38,7,1,131.58,monank patel,USA,P69
PAKISTAN vs UNITED STATES OF AMERICA,United States Of America,3,Andries Gous,b Haris Rauf,35,26,5,1,134.62,andries gous,USA,P70
PAKISTAN vs UNITED STATES OF AMERICA,United States Of America,4,Aaron Jones,not out,36,26,2,2,138.46,aaron jones,USA,P61
PAKISTAN vs UNITED STATES OF AMERICA,United States Of America,5,Nitish Kumar,not out,14,14,1,0,100,nitish kumar,USA,P62
NAMIBIA vs SCOTLAND,Namibia,1,Kotze,c Brandon McMullen b Wheal,0,3,0,0,0,jp kotze,NAM,P253
NAMIBIA vs SCOTLAND,Namibia,2,Niko Davin,c Bradley Currie b Christopher Sole,20,12,4,0,166.67,nikolaas davin,NAM,P244
