player_id,player_name_x,team_x,total_runs,balls_faced,fours,sixes,innings_batted,strike_rate,boundary_runs,boundary_pct,avg_batting_pos,player_name_y,team_y,total_wickets,runs_conceded,balls_bowled,innings_bowled,overs_bowled,economy,player_name,team,role_clean,bowling_type,dashboard_role,batting_role,batting_impact,bowling_impact,allrounder_impact
P1,Rohit Sharma (c),India,257.0,164.0,24.0,15.0,8.0,156.70731707317074,186.0,72.37354085603113,1.0,,,,,,,,,Rohit Sharma,India,bat,offbreak,Batsman,Opener,189.98690329315744,,
P100,Chris Greaves,Scotland,13.0,13.0,0.0,0.0,2.0,100.0,0.0,0.0,7.0,Chris Greaves,SCOTLAND,2.0,30.0,30.0,3.0,5.0,6.0,Chris Greaves,Scotland,bowl,legbreak,Spinner,Not a Batter,36.5,-1.2000000000000004,21.419999999999998
P101,,,,,,,,,,,,Safyaan Sharif,SCOTLAND,4.0,82.0,48.0,2.0,8.0,10.25,Safyaan Sharif,Scotland,bowl,fast-medium,Pacer,Not a Batter,,-1.7000000000000006,
P102,,,,,,,,,,,,Christopher Sole,SCOTLAND,2.0,97.0,60.0,3.0,10.0,9.7,Christopher Sole,Scotland,bowl,fast-medium,Pacer,Not a Batter,,-2.6799999999999997,
P103,,,,,,,,,,,,Mark Watt,SCOTLAND,3.0,98.0,72.0,3.0,12.0,8.166666666666666,Mark Watt,Scotland,bowl,orthodox,Spinner,Not a Batter,,-1.4666666666666668,
P104,,,,,,,,,,,,Wheal,SCOTLAND,5.0,80.0,70.0,3.0,11.666666666666666,6.857142857142858,Brad Wheal,Scotland,bowl,fast-medium,Pacer,Not a Batter,,0.2571428571428567,
P105,,,,,,,,,,,,Bradley Currie,SCOTLAND,2.0,16.0,24.0,1.0,4.0,4.0,Brad Currie,Scotland,bowl,fast-medium,Pacer,Not a Batter,,-0.40000000000000013,
P106,Kashyap,Oman,16.0,33.0,1.0,1.0,3.0,48.484848484848484,10.0,62.5,1.3333333333333333,,,,,,,,,Kashyap Prajapati,Oman,bat,offbreak,Batsman,Opener,35.04545454545455,,
P107,Shoaib Khan,Oman,11.0,27.0,1.0,0.0,2.0,40.74074074074074,4.0,36.36363636363637,7.0,,,,,,,,,Shoaib Khan,Oman,bat,medium,Batsman,Finisher,24.994949494949495,,
P108,Mehran Khan,Oman,47.0,36.0,4.0,2.0,4.0,130.55555555555557,28.0,59.57446808510638,7.75,Mehran Khan,OMAN,6.0,61.0,48.0,3.0,8.0,7.625,Mehran Khan,Oman,bat,medium,Batsman,Finisher,74.58156028368795,0.5499999999999994,44.968936170212764
P109,Khalid Kail,Oman,48.0,61.0,2.0,1.0,4.0,78.68852459016394,14.0,29.166666666666668,5.0,,,,,,,,,Khalid Kail,Oman,bat,unknown,Batsman,Middle Order,53.43989071038252,,
P11,,,,,,,,,,,,Kuldeep Yadav,INDIA,10.0,139.0,120.0,5.0,20.0,6.95,Kuldeep Yadav,India,bowl,unknown,Pacer,Not a Batter,,3.2199999999999998,
P110,Aqib Ilyas (c),Oman,42.0,35.0,5.0,2.0,4.0,120.0,32.0,76.19047619047619,3.0,Aqib Ilyas (c),OMAN,2.0,76.0,66.0,3.0,11.0,6.909090909090909,Aqib Ilyas,Oman,bat,offbreak,Batsman,Anchor,72.23809523809524,-1.5636363636363637,42.7174025974026
P111,Zeeshan Maqsood,Oman,27.0,36.0,4.0,0.0,4.0,75.0,16.0,59.25925925925925,4.0,Zeeshan Maqsood,OMAN,0.0,46.0,30.0,3.0,5.0,9.2,Zeeshan Maqsood,Oman,ar,orthodox,All-Rounder,Middle Order,47.85185185185185,-3.6799999999999997,27.239111111111107
P112,Rafiullah,Oman,0.0,3.0,0.0,0.0,1.0,0.0,0.0,,8.0,,,,,,,,,Rafiullah,Oman,ar,medium,All-Rounder,Finisher,,,
P113,Ayaan Khan,Oman,93.0,95.0,6.0,3.0,4.0,97.89473684210527,42.0,45.16129032258064,6.0,Ayaan Khan,OMAN,1.0,32.0,18.0,2.0,3.0,10.666666666666666,Ayaan Khan,Oman,ar,orthodox,All-Rounder,Finisher,84.90067911714772,-3.6666666666666665,49.47374080362196
P114,Mohammad Nadeem,Oman,6.0,10.0,0.0,0.0,1.0,60.0,0.0,0.0,7.0,,,,,,,,,Mohammad Nadeem,Oman,ar,fast-medium,All-Rounder,Finisher,21.0,,
P115,Pratik Athavale,Oman,59.0,44.0,6.0,2.0,3.0,134.0909090909091,36.0,61.016949152542374,1.3333333333333333,,,,,,,,,Pratik Athavale WK-,Oman,wk,offbreak,Batsman,Opener,81.93066255778119,,
P116,Naseem Khushi,Oman,16.0,15.0,1.0,1.0,2.0,106.66666666666667,10.0,62.5,2.0,,,,,,,,,Naseem Khushi WK-,Oman,wk,unknown,Batsman,Opener,52.5,,
P117,Shakeel Ahmed,Oman,25.0,21.0,3.0,0.0,3.0,119.04761904761905,12.0,48.0,9.0,Shakeel Ahmed,OMAN,0.0,71.0,54.0,3.0,9.0,7.888888888888889,Shakeel Ahmed,Oman,bowl,orthodox,Spinner,Not a Batter,57.81428571428572,-3.155555555555556,33.42634920634921
P118,Bilal Khan,Oman,2.0,4.0,0.0,0.0,3.0,50.0,0.0,0.0,11.0,Bilal Khan,OMAN,4.0,109.0,73.0,4.0,12.166666666666666,8.958904109589042,Bilal Khan,Oman,bowl,fast-medium,Pacer,Not a Batter,16.0,-1.1835616438356173,9.126575342465753
P119,Fayyaz Butt,Oman,2.0,7.0,0.0,0.0,1.0,28.57142857142857,0.0,0.0,9.0,Fayyaz Butt,OMAN,0.0,4.0,1.0,1.0,0.16666666666666666,24.0,Fayyaz Butt,Oman,bowl,fast-medium,Pacer,Not a Batter,9.571428571428571,-9.600000000000001,1.9028571428571421
P120,Kaleemullah,Oman,13.0,12.0,1.0,0.0,3.0,108.33333333333333,4.0,30.76923076923077,10.0,Kaleemullah,OMAN,2.0,67.0,48.0,4.0,8.0,8.375,Kaleemullah,Oman,bowl,medium,Pacer,Not a Batter,45.15384615384615,-2.1500000000000004,26.232307692307693
P121,Aiden Markram (c),South Africa,123.0,122.0,14.0,2.0,9.0,100.81967213114753,68.0,55.28455284552846,3.2222222222222223,Aiden Markram (c),SOUTH AFRICA,2.0,69.0,60.0,5.0,10.0,6.9,Aiden Markram,South Africa,bat,offbreak,Batsman,Anchor,102.80281220844995,-1.5600000000000003,61.05768732506996
P122,Reeza Hendricks,South Africa,113.0,129.0,11.0,3.0,9.0,87.59689922480621,62.0,54.86725663716814,1.5555555555555556,,,,,,,,,Reeza Hendricks,South Africa,bat,offbreak,Batsman,Opener,93.75252109487548,,
P123,David Miller,South Africa,169.0,165.0,10.0,8.0,8.0,102.42424242424242,88.0,52.071005917159766,5.375,,,,,,,,,David Miller,South Africa,bat,unknown,Batsman,Middle Order,125.64147391070468,,
P124,Marco Jansen,South Africa,32.0,33.0,1.0,1.0,6.0,96.96969696969697,10.0,31.25,7.0,Marco Jansen,SOUTH AFRICA,7.0,213.0,187.0,9.0,31.166666666666668,6.834224598930481,Marco Jansen,South Africa,ar,fast,All-Rounder,Finisher,51.34090909090909,1.4663101604278075,31.391069518716577
P125,Quinton de Kock,South Africa,243.0,173.0,21.0,13.0,9.0,140.46242774566474,162.0,66.66666666666666,1.4444444444444444,,,,,,,,,Quinton de Kock WK-,South Africa,wk,unknown,Batsman,Opener,176.97206165703275,,
P126,Heinrich Klaasen,South Africa,190.0,150.0,9.0,13.0,8.0,126.66666666666666,114.0,60.0,4.625,,,,,,,,,Heinrich Klaasen WK-,South Africa,wk,offbreak,Batsman,Middle Order,145.0,,
P128,Tristan Stubbs,South Africa,165.0,163.0,13.0,3.0,8.0,101.22699386503066,70.0,42.42424242424242,4.75,,,,,,,,,Tristan Stubbs WK-,South Africa,wk,offbreak,Batsman,Middle Order,121.35294664435769,,
P129,,,,,,,,,,,,Ottneil Baartman,SOUTH AFRICA,6.0,94.0,114.0,5.0,19.0,4.947368421052632,Ottneil Baartman,South Africa,bowl,fast-medium,Pacer,Not a Batter,,1.6210526315789469,
P13,Arshdeep Singh,India,12.0,16.0,1.0,0.0,3.0,75.0,4.0,33.33333333333333,9.0,Arshdeep Singh,INDIA,17.0,215.0,180.0,8.0,30.0,7.166666666666667,Arshdeep Singh,India,bowl,fast-medium,Pacer,Not a Batter,35.166666666666664,7.333333333333332,24.03333333333333
P132,Keshav Maharaj,South Africa,13.0,24.0,1.0,0.0,5.0,54.166666666666664,4.0,30.76923076923077,8.0,Maharaj,SOUTH AFRICA,11.0,175.0,168.0,8.0,28.0,6.25,Keshav Maharaj,South Africa,bowl,orthodox,Spinner,Not a Batter,28.903846153846153,4.1,18.982307692307693
P133,Anrich Nortje,South Africa,1.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,10.0,Nortje,SOUTH AFRICA,15.0,201.0,210.0,9.0,35.0,5.742857142857143,Anrich Nortje,South Africa,bowl,fast,Pacer,Not a Batter,30.5,6.702857142857143,20.981142857142856
P134,Rabada,South Africa,9.0,7.0,2.0,0.0,3.0,128.57142857142858,8.0,88.88888888888889,8.666666666666666,Rabada,SOUTH AFRICA,13.0,195.0,186.0,9.0,31.0,6.290322580645161,Kagiso Rabada,South Africa,bowl,fast,Pacer,Not a Batter,60.849206349206355,5.283870967741935,38.62307219662058
P135,,,,,,,,,,,,Tabraiz Shamsi,SOUTH AFRICA,11.0,128.0,101.0,5.0,16.833333333333332,7.6039603960396045,Tabraiz Shamsi,South Africa,bowl,unknown,Pacer,Not a Batter,,3.5584158415841576,
P136,Pathum Nissanka,Sri Lanka,50.0,38.0,7.0,1.0,3.0,131.57894736842107,34.0,68.0,1.0,,,,,,,,,Pathum Nissanka,Sri Lanka,bat,unknown,Batsman,Opener,78.07368421052632,,
P137,Asalanka,Sri Lanka,71.0,51.0,2.0,6.0,3.0,139.2156862745098,44.0,61.97183098591549,5.333333333333333,,,,,,,,,Charith Asalanka,Sri Lanka,ar,offbreak,All-Rounder,Middle Order,89.65907207953605,,
P138,Dhananjaya de Silva,Sri Lanka,55.0,52.0,4.0,1.0,2.0,105.76923076923077,22.0,40.0,4.0,Dhananjaya de Silva,SRI LANKA,1.0,11.0,12.0,1.0,2.0,5.5,Dhananjaya de Silva,Sri Lanka,ar,offbreak,All-Rounder,Middle Order,67.23076923076923,-1.6,39.69846153846154
P139,Mathews,Sri Lanka,62.0,50.0,2.0,4.0,3.0,124.0,32.0,51.61290322580645,6.666666666666667,Angelo Mathews,SRI LANKA,0.0,36.0,30.0,2.0,5.0,7.2,Angelo Mathews,Sri Lanka,ar,fast-medium,All-Rounder,Finisher,78.52258064516128,-2.8800000000000003,45.96154838709677
P14,Bumrah,India,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,10.0,Bumrah,INDIA,15.0,124.0,178.0,8.0,29.666666666666668,4.179775280898876,Jasprit Bumrah,India,bowl,fast,Pacer,Not a Batter,,7.328089887640449,
P140,Kamindu Mendis,Sri Lanka,32.0,40.0,3.0,1.0,3.0,80.0,18.0,56.25,3.0,,,,,,,,,Kamindu Mendis,Sri Lanka,ar,offbreak,All-Rounder,Anchor,51.25,,
P141,Shanaka,Sri Lanka,12.0,18.0,0.0,1.0,3.0,66.66666666666666,6.0,50.0,7.666666666666667,Dasun Shanaka,SRI LANKA,2.0,27.0,30.0,3.0,5.0,5.4,Dasun Shanaka,Sri Lanka,ar,medium,All-Rounder,Finisher,36.0,-0.9600000000000002,21.215999999999998
P142,W Hasaranga (c),Sri Lanka,20.0,9.0,1.0,2.0,3.0,222.22222222222223,16.0,80.0,6.0,Wanindu Hasaranga (c),SRI LANKA,6.0,79.0,68.0,3.0,11.333333333333334,6.970588235294117,Wanindu Hasaranga,Sri Lanka,ar,legbreak,All-Rounder,Finisher,92.66666666666667,0.8117647058823527,55.924705882352946
P144,Kusal Mendis,Sri Lanka,75.0,67.0,8.0,0.0,3.0,111.94029850746267,32.0,42.66666666666667,2.0,,,,,,,,,Kusal Mendis WK-,Sri Lanka,wk,unknown,Batsman,Opener,79.61542288557213,,
P145,Samarawickrama,Sri Lanka,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,5.0,,,,,,,,,Sadeera Samarawickrama WK-,Sri Lanka,wk,unknown,Batsman,Middle Order,,,
P148,Matheesha Pathirana,Sri Lanka,0.0,5.0,0.0,0.0,2.0,0.0,0.0,,10.0,Matheesha Pathirana,SRI LANKA,3.0,51.0,60.0,3.0,10.0,5.1,Matheesha Pathirana,Sri Lanka,bowl,fast,Pacer,Not a Batter,,-0.2400000000000002,
P149,M Theekshana,Sri Lanka,7.0,19.0,1.0,0.0,2.0,36.84210526315789,4.0,57.14285714285714,9.0,Maheesh Theekshana,SRI LANKA,1.0,53.0,48.0,3.0,8.0,6.625,Maheesh Theekshana,Sri Lanka,bowl,offbreak,Spinner,Not a Batter,25.981203007518793,-2.0500000000000003,14.768721804511275
P15,Siraj,India,7.0,7.0,0.0,0.0,1.0,100.0,0.0,0.0,11.0,Siraj,INDIA,1.0,57.0,66.0,3.0,11.0,5.181818181818182,Mohammed Siraj,India,bowl,fast,Pacer,Not a Batter,33.5,-1.4727272727272727,19.510909090909088
P150,N Thushara,Sri Lanka,0.0,5.0,0.0,0.0,2.0,0.0,0.0,,11.0,Nuwan Thushara,SRI LANKA,8.0,60.0,64.0,3.0,10.666666666666666,5.625,Nuwan Thushara,Sri Lanka,bowl,fast-medium,Pacer,Not a Batter,,2.55,
P151,Kane Williamson (c),New Zealand,28.0,32.0,3.0,0.0,3.0,87.5,12.0,42.857142857142854,3.6666666666666665,,,,,,,,,Kane Williamson,New Zealand,bat,offbreak,Batsman,Middle Order,48.82142857142857,,
P152,Finn Allen,New Zealand,35.0,43.0,4.0,1.0,4.0,81.3953488372093,22.0,62.857142857142854,1.25,,,,,,,,,Finn Allen,New Zealand,bat,unknown,Batsman,Opener,54.49003322259136,,
P153,Mark Chapman,New Zealand,4.0,7.0,0.0,0.0,1.0,57.14285714285714,0.0,0.0,6.0,,,,,,,,,Mark Chapman,New Zealand,bat,orthodox,Batsman,Finisher,19.142857142857142,,
P154,Glenn Phillips,New Zealand,58.0,51.0,5.0,2.0,2.0,113.72549019607843,32.0,55.172413793103445,5.5,Glenn Phillips,NEW ZEALAND,0.0,9.0,6.0,1.0,1.0,9.0,Glenn Phillips,New Zealand,ar,offbreak,All-Rounder,Middle Order,74.15212981744422,-3.6,43.05127789046653
P155,Michael Bracewell,New Zealand,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,7.0,M Bracewell,NEW ZEALAND,0.0,27.0,18.0,1.0,3.0,9.0,Michael Bracewell,New Zealand,ar,offbreak,All-Rounder,Finisher,,-3.6,
P156,Daryl Mitchell,New Zealand,36.0,30.0,5.0,0.0,3.0,120.0,20.0,55.55555555555556,4.666666666666667,Daryl Mitchell,NEW ZEALAND,0.0,35.0,12.0,2.0,2.0,17.5,Daryl Mitchell,New Zealand,ar,medium,All-Rounder,Middle Order,65.11111111111111,-7.0,36.26666666666667
P157,James Neesham,New Zealand,10.0,11.0,0.0,1.0,1.0,90.9090909090909,6.0,60.0,7.0,Neesham,NEW ZEALAND,1.0,27.0,24.0,1.0,4.0,6.75,James Neesham,New Zealand,ar,fast-medium,All-Rounder,Finisher,44.272727272727266,-2.1,25.72363636363636
P158,Rachin Ravindra,New Zealand,17.0,25.0,0.0,0.0,3.0,68.0,0.0,0.0,3.0,Rachin Ravindra,NEW ZEALAND,2.0,9.0,18.0,1.0,3.0,3.0,Rachin Ravindra,New Zealand,ar,orthodox,All-Rounder,Anchor,28.9,-2.220446049250313e-16,17.34
P159,Mitchell Santner,New Zealand,25.0,20.0,0.0,3.0,2.0,125.0,18.0,72.0,8.0,Santner,NEW ZEALAND,4.0,76.0,82.0,4.0,13.666666666666666,5.560975609756098,Mitchell Santner,New Zealand,ar,orthodox,All-Rounder,Finisher,64.4,0.1756097560975607,38.710243902439025
P160,Devon Conway,New Zealand,70.0,65.0,7.0,3.0,4.0,107.6923076923077,46.0,65.71428571428571,1.75,,,,,,,,,Devon Conway,New Zealand,wk,medium,Batsman,Opener,80.45054945054945,,
P161,Trent Boult,New Zealand,10.0,11.0,0.0,1.0,2.0,90.9090909090909,6.0,60.0,10.5,Boult,NEW ZEALAND,9.0,59.0,96.0,4.0,16.0,3.6875,Trent Boult,New Zealand,bowl,fast-medium,Pacer,Not a Batter,44.272727272727266,3.9249999999999994,28.13363636363636
P162,Lockie Ferguson,New Zealand,2.0,5.0,0.0,0.0,2.0,40.0,0.0,0.0,10.5,Lockie Ferguson,NEW ZEALAND,7.0,64.0,96.0,4.0,16.0,4.0,Lockie Ferguson,New Zealand,bowl,fast,Pacer,Not a Batter,13.0,2.6,8.84
P163,Matt Henry,New Zealand,12.0,17.0,0.0,1.0,1.0,70.58823529411765,6.0,50.0,9.0,Matt Henry,NEW ZEALAND,2.0,37.0,24.0,1.0,4.0,9.25,Matt Henry,New Zealand,bowl,fast-medium,Pacer,Not a Batter,37.17647058823529,-2.5,21.305882352941172
P164,,,,,,,,,,,,Ish Sodhi,NEW ZEALAND,2.0,29.0,22.0,1.0,3.6666666666666665,7.909090909090909,Ish Sodhi,New Zealand,bowl,legbreak,Spinner,Not a Batter,,-1.963636363636364,
P165,Tim Southee,New Zealand,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,9.0,Southee,NEW ZEALAND,7.0,36.0,72.0,3.0,12.0,3.0,Tim Southee,New Zealand,bowl,fast-medium,Pacer,Not a Batter,,3.0,
P166,Ibrahim Zadran,Afghanistan,231.0,215.0,25.0,4.0,8.0,107.44186046511628,124.0,53.67965367965368,2.125,,,,,,,,,Ibrahim Zadran,Afghanistan,bat,fast-medium,Batsman,Opener,158.46848887546562,,
P167,Najibullah,Afghanistan,22.0,23.0,0.0,2.0,4.0,95.65217391304348,12.0,54.54545454545454,5.5,,,,,,,,,Najibullah Zadran,Afghanistan,bat,offbreak,Batsman,Middle Order,50.60474308300395,,
P168,Hazratullah Zazai,Afghanistan,2.0,4.0,0.0,0.0,1.0,50.0,0.0,0.0,2.0,,,,,,,,,Hazratullah Zazai,Afghanistan,bat,orthodox,Batsman,Opener,16.0,,
P169,Gulbadin,Afghanistan,90.0,86.0,9.0,3.0,8.0,104.65116279069768,54.0,60.0,4.5,Gulbadin,AFGHANISTAN,7.0,47.0,54.0,4.0,9.0,5.222222222222222,Gulbadin Naib,Afghanistan,ar,fast-medium,All-Rounder,Middle Order,88.3953488372093,2.111111111111111,53.88165374677002
P17,Balbirnie,Ireland,22.0,32.0,2.0,0.0,3.0,68.75,8.0,36.36363636363637,1.0,,,,,,,,,Andrew Balbirnie,Ireland,bat,offbreak,Batsman,Opener,38.89772727272727,,
P170,Azmatullah,Afghanistan,111.0,102.0,7.0,4.0,8.0,108.8235294117647,52.0,46.846846846846844,4.0,Azmatullah Omarzai,AFGHANISTAN,2.0,104.0,67.0,6.0,11.166666666666666,9.313432835820896,Azmatullah Omarzai,Afghanistan,ar,fast-medium,All-Rounder,Middle Order,97.51642819289877,-2.5253731343283583,57.49970766200792
P171,Nabi,Afghanistan,56.0,70.0,3.0,1.0,8.0,80.0,18.0,32.142857142857146,5.25,Mohammad Nabi,AFGHANISTAN,3.0,88.0,78.0,7.0,13.0,6.769230769230769,Mohammad Nabi,Afghanistan,ar,offbreak,All-Rounder,Middle Order,58.42857142857143,-0.907692307692308,34.69406593406593
P172,Rashid Khan (c),Afghanistan,57.0,46.0,5.0,4.0,7.0,123.91304347826086,44.0,77.19298245614034,6.857142857142857,Rashid Khan (c),AFGHANISTAN,14.0,179.0,174.0,8.0,29.0,6.172413793103448,Rashid Khan,Afghanistan,ar,legbreak,All-Rounder,Finisher,81.11250953470632,5.931034482758621,51.03991951392724
P173,Karim Janat,Afghanistan,43.0,38.0,2.0,2.0,5.0,113.1578947368421,20.0,46.51162790697674,6.0,Karim Janat,AFGHANISTAN,0.0,10.0,12.0,1.0,2.0,5.0,Karim Janat,Afghanistan,ar,fast-medium,All-Rounder,Finisher,64.74969400244798,-2.0,38.04981640146879
P174,Nangeyalia Kharote,Afghanistan,3.0,8.0,0.0,0.0,2.0,37.5,0.0,0.0,7.0,Nangeyalia Kharote,AFGHANISTAN,0.0,13.0,6.0,1.0,1.0,13.0,Nangeyalia Kharote,Afghanistan,ar,orthodox,All-Rounder,Finisher,12.75,-5.2,5.569999999999999
P175,Gurbaz,Afghanistan,281.0,226.0,18.0,16.0,8.0,124.33628318584071,168.0,59.7864768683274,1.0,,,,,,,,,Rahmanullah Gurbaz WK-,Afghanistan,wk,unknown,Batsman,Opener,189.7581803294177,,
P177,,,,,,,,,,,,Mujeeb Ur Rahman,AFGHANISTAN,1.0,16.0,18.0,1.0,3.0,5.333333333333333,Mujeeb Ur Rahman,Afghanistan,bowl,offbreak,Spinner,Not a Batter,,-1.5333333333333332,
P178,Noor Ahmad,Afghanistan,14.0,24.0,1.0,1.0,3.0,58.333333333333336,10.0,71.42857142857143,9.0,Noor Ahmad,AFGHANISTAN,1.0,98.0,102.0,6.0,17.0,5.764705882352941,Noor Ahmad,Afghanistan,bowl,unknown,Pacer,Not a Batter,38.785714285714285,-1.7058823529411766,22.589075630252097
P179,Naveen-ul-Haq,Afghanistan,6.0,15.0,1.0,0.0,3.0,40.0,4.0,66.66666666666666,10.0,Naveen-ul-Haq,AFGHANISTAN,13.0,160.0,160.0,8.0,26.666666666666668,6.0,Naveen-ul-Haq,Afghanistan,bowl,fast-medium,Pacer,Not a Batter,28.333333333333332,5.3999999999999995,19.16
P18,Harry Tector,Ireland,11.0,27.0,0.0,0.0,3.0,40.74074074074074,0.0,0.0,4.0,,,,,,,,,Harry Tector,Ireland,bat,offbreak,Batsman,Middle Order,17.72222222222222,,
P180,Fazalhaq Farooqi,Afghanistan,6.0,5.0,1.0,0.0,3.0,120.0,4.0,66.66666666666666,11.0,Fazalhaq Farooqi,AFGHANISTAN,17.0,160.0,152.0,8.0,25.333333333333332,6.315789473684211,Fazalhaq Farooqi,Afghanistan,bowl,fast-medium,Pacer,Not a Batter,52.33333333333333,7.673684210526314,34.46947368421052
P182,Kushal Bhurtel,Nepal,24.0,39.0,3.0,1.0,3.0,61.53846153846154,18.0,75.0,1.0,Kushal Bhurtel,NEPAL,4.0,41.0,48.0,2.0,8.0,5.125,Kushal Bhurtel,Nepal,bat,legbreak,Batsman,Opener,45.46153846153846,0.34999999999999964,27.416923076923077
P183,Sundeep Jora,Nepal,1.0,8.0,0.0,0.0,1.0,12.5,0.0,0.0,5.0,,,,,,,,,Sundeep Jora,Nepal,bat,unknown,Batsman,Middle Order,4.25,,
P184,Rohit Paudel (c),Nepal,36.0,45.0,5.0,0.0,3.0,80.0,20.0,55.55555555555556,3.6666666666666665,Rohit Paudel (c),NEPAL,2.0,20.0,24.0,1.0,4.0,5.0,Rohit Paudel,Nepal,ar,offbreak,All-Rounder,Middle Order,53.111111111111114,-0.8,31.546666666666667
P185,Dipendra Singh,Nepal,32.0,48.0,2.0,1.0,3.0,66.66666666666666,14.0,43.75,6.0,Dipendra Singh Airee,NEPAL,6.0,49.0,57.0,3.0,9.5,5.157894736842105,Dipendra Singh Airee,Nepal,ar,offbreak,All-Rounder,Finisher,44.75,1.5368421052631573,27.46473684210526
P186,Anil Sah,Nepal,38.0,38.0,5.0,1.0,3.0,100.0,26.0,68.42105263157895,3.3333333333333335,,,,,,,,,Anil Sah,Nepal,ar,offbreak,All-Rounder,Anchor,62.68421052631579,,
P187,Kushal Malla,Nepal,37.0,52.0,2.0,1.0,3.0,71.15384615384616,14.0,37.83783783783784,5.666666666666667,Kushal Malla,NEPAL,0.0,17.0,12.0,1.0,2.0,8.5,Kushal Malla,Nepal,ar,orthodox,All-Rounder,Finisher,47.41372141372142,-3.4000000000000004,27.088232848232852
P188,Karan KC,Nepal,17.0,12.0,0.0,2.0,1.0,141.66666666666669,12.0,70.58823529411765,9.0,Karan KC,NEPAL,0.0,26.0,24.0,2.0,4.0,6.5,Karan KC,Nepal,ar,medium,All-Rounder,Finisher,65.11764705882354,-2.6,38.03058823529412
