image,player_name,team,role,batting_style,bowling_style
https://static.cricbuzz.com/a/img/v1/i1/c616514/rohit-sharma.jpg?d=low&p=gthumb,Rohit Sharma,India,Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c591942/yashasvi-jaiswal.jpg?d=low&p=gthumb,"Yashasvi Jaiswal
Batsman",India,Batsman,Left Handed Bat,Right-arm legbreak
https://static.cricbuzz.com/a/img/v1/i1/c616517/virat-kohli.jpg?d=low&p=gthumb,"Virat Kohli
Batsman",India,Batsman,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c352481/suryakumar-yadav.jpg?d=low&p=gthumb,"Suryakumar Yadav
Batsman",India,Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c616519/hardik-pandya.jpg?d=low&p=gthumb,"Hardik Pandya
Batting Allrounder",India,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c593805/shivam-dube.jpg?d=low&p=gthumb,"Shivam Dube
Batting Allrounder",India,Batting Allrounder,Left Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c616520/ravindra-jadeja.jpg?d=low&p=gthumb,"Ravindra Jadeja
Bowling Allrounder",India,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c616521/axar-patel.jpg?d=low&p=gthumb,"Axar Patel
Bowling Allrounder",India,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c616524/rishabh-pant.jpg?d=low&p=gthumb,"Rishabh Pant
WK-Batsman",India,WK-Batsman,Left Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c226289/sanju-samson.jpg?d=low&p=gthumb,"Sanju Samson
WK-Batsman",India,WK-Batsman,Right Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c616525/kuldeep-yadav.jpg?d=low&p=gthumb,"Kuldeep Yadav
Bowler",India,Bowler,Left Handed Bat,Left-arm wrist-spin
https://static.cricbuzz.com/a/img/v1/i1/c244981/yuzvendra-chahal.jpg?d=low&p=gthumb,"Yuzvendra Chahal
Bowler",India,Bowler,Right Handed Bat,Right-arm legbreak
https://static.cricbuzz.com/a/img/v1/i1/c616527/arshdeep-singh.jpg?d=low&p=gthumb,"Arshdeep Singh
Bowler",India,Bowler,Left Handed Bat,Left-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c591949/jasprit-bumrah.jpg?d=low&p=gthumb,"Jasprit Bumrah
Bowler",India,Bowler,Right Handed Bat,Right-arm fast
https://static.cricbuzz.com/a/img/v1/i1/c591952/mohammed-siraj.jpg?d=low&p=gthumb,"Mohammed Siraj
Bowler",India,Bowler,Right Handed Bat,Right-arm fast
https://static.cricbuzz.com/a/img/v1/i1/c182026/ross-adair.jpg?d=low&p=gthumb,"Ross Adair
Batsman",Ireland,Batsman,Right Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c244616/andrew-balbirnie.jpg?d=low&p=gthumb,"Andrew Balbirnie
Batsman",Ireland,Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c244641/harry-tector.jpg?d=low&p=gthumb,"Harry Tector
Batsman",Ireland,Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c244652/paul-stirling.jpg?d=low&p=gthumb,Paul Stirling,Ireland,Batting Allrounder,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c244628/gareth-delany.jpg?d=low&p=gthumb,"Gareth Delany
Batting Allrounder",Ireland,Batting Allrounder,Right Handed Bat,Right-arm legbreak
https://static.cricbuzz.com/a/img/v1/i1/c244625/curtis-campher.jpg?d=low&p=gthumb,"Curtis Campher
Bowling Allrounder",Ireland,Bowling Allrounder,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c244638/george-dockrell.jpg?d=low&p=gthumb,"George Dockrell
Bowling Allrounder",Ireland,Bowling Allrounder,Right Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c182026/neil-rock.jpg?d=low&p=gthumb,"Neil Rock
WK-Batsman",Ireland,WK-Batsman,Left Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c244650/lorcan-tucker.jpg?d=low&p=gthumb,"Lorcan Tucker
WK-Batsman",Ireland,WK-Batsman,Right Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c244651/mark-adair.jpg?d=low&p=gthumb,"Mark Adair
Bowler",Ireland,Bowler,Right Handed Bat,Right-arm fast
https://static.cricbuzz.com/a/img/v1/i1/c182026/graham-hume.jpg?d=low&p=gthumb,"Graham Hume
Bowler",Ireland,Bowler,Left Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c244649/joshua-little.jpg?d=low&p=gthumb,"Joshua Little
Bowler",Ireland,Bowler,Right Handed Bat,Left-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c244623/barry-mccarthy.jpg?d=low&p=gthumb,"Barry McCarthy
Bowler",Ireland,Bowler,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c191068/craig-young.jpg?d=low&p=gthumb,"Craig Young
Bowler",Ireland,Bowler,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/benjamin-white.jpg?d=low&p=gthumb,"Benjamin White
Bowler",Ireland,Bowler,Right Handed Bat,Right-arm legbreak
https://static.cricbuzz.com/a/img/v1/i1/c717793/harry-brook.jpg?d=low&p=gthumb,"Harry Brook
Batsman",England,Batsman,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c717790/ben-duckett.jpg?d=low&p=gthumb,"Ben Duckett
Batsman",England,Batsman,Left Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c597794/moeen-ali.jpg?d=low&p=gthumb,"Moeen Ali
Batting Allrounder",England,Batting Allrounder,Left Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c594344/will-jacks.jpg?d=low&p=gthumb,"Will Jacks
Batting Allrounder",England,Batting Allrounder,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c617405/liam-livingstone.jpg?d=low&p=gthumb,"Liam Livingstone
Batting Allrounder",England,Batting Allrounder,Right Handed Bat,Right-arm legbreak
https://static.cricbuzz.com/a/img/v1/i1/c655387/sam-curran.jpg?d=low&p=gthumb,"Sam Curran
Bowling Allrounder",England,Bowling Allrounder,Left Handed Bat,Left-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c617407/jos-buttler.jpg?d=low&p=gthumb,Jos Buttler,England,WK-Batsman,Right Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c351851/jonny-bairstow.jpg?d=low&p=gthumb,"Jonny Bairstow
WK-Batsman",England,WK-Batsman,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c617408/philip-salt.jpg?d=low&p=gthumb,"Philip Salt
WK-Batsman",England,WK-Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c617429/jofra-archer.jpg?d=low&p=gthumb,"Jofra Archer
Bowler",England,Bowler,Right Handed Bat,Right-arm fast
https://static.cricbuzz.com/a/img/v1/i1/c380064/tom-hartley.jpg?d=low&p=gthumb,"Tom Hartley
Bowler",England,Bowler,Left Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c244783/chris-jordan.jpg?d=low&p=gthumb,"Chris Jordan
Bowler",England,Bowler,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c617413/adil-rashid.jpg?d=low&p=gthumb,"Adil Rashid
Bowler",England,Bowler,Right Handed Bat,Right-arm legbreak
https://static.cricbuzz.com/a/img/v1/i1/c627475/reece-topley.jpg?d=low&p=gthumb,"Reece Topley
Bowler",England,Bowler,Right Handed Bat,Left-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c617415/mark-wood.jpg?d=low&p=gthumb,"Mark Wood
Bowler",England,Bowler,Right Handed Bat,Right-arm fast
https://static.cricbuzz.com/a/img/v1/i1/c182026/aaron-johnson.jpg?d=low&p=gthumb,"Aaron Johnson
Batsman",Canada,Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c182026/ravinderpal-singh.jpg?d=low&p=gthumb,"Ravinderpal Singh
Batsman",Canada,Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c182026/nicholas-kirton.jpg?d=low&p=gthumb,"Nicholas Kirton
Batting Allrounder",Canada,Batting Allrounder,Left Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c182026/pargat-singh.jpg?d=low&p=gthumb,"Pargat Singh
Batting Allrounder",Canada,Batting Allrounder,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c157111/junaid-siddiqui.jpg?d=low&p=gthumb,"Junaid Siddiqui
Batting Allrounder",Canada,Batting Allrounder,Right Handed Bat,Right-arm legbreak
https://static.cricbuzz.com/a/img/v1/i1/c182026/navneet-dhaliwal.jpg?d=low&p=gthumb,"Navneet Dhaliwal
Batting Allrounder",Canada,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/rayyan-pathan.jpg?d=low&p=gthumb,"Rayyan Pathan
Batting Allrounder",Canada,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/dilpreet-bajwa.jpg?d=low&p=gthumb,"Dilpreet Bajwa
Bowling Allrounder",Canada,Bowling Allrounder,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/saad-bin-zafar.jpg?d=low&p=gthumb,Saad Bin Zafar,Canada,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c182026/shreyas-movva.jpg?d=low&p=gthumb,"Shreyas Movva
WK-Batsman",Canada,WK-Batsman,Right Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c182026/dilon-heyliger.jpg?d=low&p=gthumb,"Dilon Heyliger
Bowler",Canada,Bowler,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c157994/jeremy-gordon.jpg?d=low&p=gthumb,"Jeremy Gordon
Bowler",Canada,Bowler,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/kaleem-sana.jpg?d=low&p=gthumb,"Kaleem Sana
Bowler",Canada,Bowler,Right Handed Bat,Left-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c155655/nikhil-dutta.jpg?d=low&p=gthumb,"Nikhil Dutta
Bowler",Canada,Bowler,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c156279/rishiv-ragav-joshi.jpg?d=low&p=gthumb,"Rishiv Ragav Joshi
Bowler",Canada,Bowler,Right Handed Bat,Left-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/aaron-jones.jpg?d=low&p=gthumb,"Aaron Jones
Batsman",United States,Batsman,Right Handed Bat,Right-arm legbreak
https://static.cricbuzz.com/a/img/v1/i1/c156268/nitish-kumar.jpg?d=low&p=gthumb,"Nitish Kumar
Batsman",United States,Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c182026/milind-kumar.jpg?d=low&p=gthumb,"Milind Kumar
Batting Allrounder",United States,Batting Allrounder,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c157038/steven-taylor.jpg?d=low&p=gthumb,"Steven Taylor
Batting Allrounder",United States,Batting Allrounder,Left Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c156103/corey-anderson.jpg?d=low&p=gthumb,"Corey Anderson
Batting Allrounder",United States,Batting Allrounder,Left Handed Bat,Left-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c156177/harmeet-singh.jpg?d=low&p=gthumb,"Harmeet Singh
Bowling Allrounder",United States,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c182026/nisarg-patel.jpg?d=low&p=gthumb,"Nisarg Patel
Bowling Allrounder",United States,Bowling Allrounder,Right Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c182026/shadley-van-schalkwyk.jpg?d=low&p=gthumb,"Shadley van Schalkwyk
Bowling Allrounder",United States,Bowling Allrounder,Left Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/monank-patel.jpg?d=low&p=gthumb,Monank Patel,United States,WK-Batsman,Right Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c182026/andries-gous.jpg?d=low&p=gthumb,"Andries Gous
WK-Batsman",United States,WK-Batsman,Right Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c182026/shayan-jahangir.jpg?d=low&p=gthumb,"Shayan Jahangir
WK-Batsman",United States,WK-Batsman,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c599389/ali-khan.jpg?d=low&p=gthumb,"Ali Khan
Bowler",United States,Bowler,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/jasdeep-singh.jpg?d=low&p=gthumb,"Jasdeep Singh
Bowler",United States,Bowler,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/nosthush-kenjige.jpg?d=low&p=gthumb,"Nosthush Kenjige
Bowler",United States,Bowler,Right Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c152616/saurabh-netravalkar.jpg?d=low&p=gthumb,"Saurabh Netravalkar
Bowler",United States,Bowler,Right Handed Bat,Left-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c594298/tim-david.jpg?d=low&p=gthumb,"Tim David
Batsman",Australia,Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c619876/travis-head.jpg?d=low&p=gthumb,"Travis Head
Batsman",Australia,Batsman,Left Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c352449/david-warner.jpg?d=low&p=gthumb,"David Warner
Batsman",Australia,Batsman,Left Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c352452/mitchell-marsh.jpg?d=low&p=gthumb,Mitchell Marsh,Australia,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c352451/cameron-green.jpg?d=low&p=gthumb,"Cameron Green
Batting Allrounder",Australia,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c619879/glenn-maxwell.jpg?d=low&p=gthumb,"Glenn Maxwell
Batting Allrounder",Australia,Batting Allrounder,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c352453/marcus-stoinis.jpg?d=low&p=gthumb,"Marcus Stoinis
Batting Allrounder",Australia,Batting Allrounder,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c244781/ashton-agar.jpg?d=low&p=gthumb,"Ashton Agar
Bowling Allrounder",Australia,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c619881/josh-inglis.jpg?d=low&p=gthumb,"Josh Inglis
WK-Batsman",Australia,WK-Batsman,Right Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c244799/matthew-wade.jpg?d=low&p=gthumb,"Matthew Wade
WK-Batsman",Australia,WK-Batsman,Left Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c352460/pat-cummins.jpg?d=low&p=gthumb,"Pat Cummins
Bowler",Australia,Bowler,Right Handed Bat,Right-arm fast
https://static.cricbuzz.com/a/img/v1/i1/c619885/nathan-ellis.jpg?d=low&p=gthumb,"Nathan Ellis
Bowler",Australia,Bowler,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c352459/josh-hazlewood.jpg?d=low&p=gthumb,"Josh Hazlewood
Bowler",Australia,Bowler,Left Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c352462/mitchell-starc.jpg?d=low&p=gthumb,"Mitchell Starc
Bowler",Australia,Bowler,Left Handed Bat,Left-arm fast
https://static.cricbuzz.com/a/img/v1/i1/c619887/adam-zampa.jpg?d=low&p=gthumb,"Adam Zampa
Bowler",Australia,Bowler,Right Handed Bat,Right-arm legbreak
https://static.cricbuzz.com/a/img/v1/i1/c244693/michael-jones.jpg?d=low&p=gthumb,"Michael Jones
Batsman",Scotland,Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c244688/george-munsey.jpg?d=low&p=gthumb,"George Munsey
Batsman",Scotland,Batsman,Left Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c182026/ollie-hairs.jpg?d=low&p=gthumb,"Ollie Hairs
Batsman",Scotland,Batsman,Left Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c244691/richie-berrington.jpg?d=low&p=gthumb,Richie Berrington,Scotland,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c244692/michael-leask.jpg?d=low&p=gthumb,"Michael Leask
Batting Allrounder",Scotland,Batting Allrounder,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c244683/brandon-mcmullen.jpg?d=low&p=gthumb,"Brandon McMullen
Batting Allrounder",Scotland,Batting Allrounder,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c182026/jack-jarvis.jpg?d=low&p=gthumb,"Jack Jarvis
Bowling Allrounder",Scotland,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c244690/matthew-cross.jpg?d=low&p=gthumb,"Matthew Cross
WK-Batsman",Scotland,WK-Batsman,Right Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c182026/charlie-tear.jpg?d=low&p=gthumb,"Charlie Tear
WK-Batsman",Scotland,WK-Batsman,Right Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c244682/chris-greaves.jpg?d=low&p=gthumb,"Chris Greaves
Bowler",Scotland,Bowler,Right Handed Bat,Right-arm legbreak
https://static.cricbuzz.com/a/img/v1/i1/c244694/safyaan-sharif.jpg?d=low&p=gthumb,"Safyaan Sharif
Bowler",Scotland,Bowler,Right Handed Bat,Right-arm fast-medium
